id,count,doc,NumWords
1002,1,2,626
1003,1,2,626
1009,1,2,626
1014,7,2,626
1016,1,2,626
1018,1,2,626
1020,1,2,626
1021,1,2,626
1026,3,2,626
1031,2,2,626
1034,3,2,626
1036,1,2,626
1038,2,2,626
1042,1,2,626
1043,1,2,626
535,1,2,626
487,1,2,626
1049,1,2,626
1051,1,2,626
1057,1,2,626
1058,2,2,626
1059,1,2,626
904,1,2,626
1063,1,2,626
1066,1,2,626
1072,1,2,626
1076,1,2,626
1077,1,2,626
1080,1,2,626
1090,2,2,626
1087,5,2,626
1083,2,2,626
2,1,3,729
5,2,3,729
6,1,3,729
9,1,3,729
12,9,3,729
13,1,3,729
14,1,3,729
15,1,3,729
19,1,3,729
20,1,3,729
21,1,3,729
188,1,3,729
358,2,3,729
29,1,3,729
30,3,3,729
36,2,3,729
44,1,3,729
46,1,3,729
47,1,3,729
52,1,3,729
54,1,3,729
324,1,3,729
57,1,3,729
61,1,3,729
132,1,3,729
63,1,3,729
430,1,3,729
425,1,3,729
73,2,3,729
81,2,3,729
83,1,3,729
969,1,3,729
85,1,3,729
521,1,3,729
90,1,3,729
91,2,3,729
542,1,3,729
94,1,3,729
96,1,3,729
97,3,3,729
99,1,3,729
103,1,3,729
625,1,3,729
106,1,3,729
204,1,3,729
113,4,3,729
114,2,3,729
1050,1,3,729
120,2,3,729
123,1,3,729
124,2,3,729
127,1,3,729
128,2,3,729
129,2,3,729
130,1,3,729
134,1,3,729
137,2,3,729
142,1,3,729
144,2,3,729
145,1,3,729
147,1,3,729
148,1,3,729
159,1,3,729
160,2,3,729
161,1,3,729
231,1,3,729
899,1,3,729
166,1,3,729
995,1,3,729
332,1,3,729
1006,1,3,729
181,1,3,729
184,1,3,729
186,2,3,729
187,1,3,729
766,1,3,729
66,1,3,729
70,1,3,729
87,1,3,729
203,3,3,729
1075,1,3,729
125,2,3,729
141,1,3,729
209,1,3,729
213,2,3,729
163,1,3,729
172,1,3,729
219,10,3,729
221,1,3,729
224,1,3,729
241,1,3,729
226,1,3,729
236,1,3,729
237,2,3,729
244,2,3,729
245,1,3,729
246,3,3,729
247,1,3,729
395,1,3,729
256,1,3,729
259,1,3,729
776,1,3,729
268,1,3,729
265,1,3,729
269,1,3,729
534,1,3,729
275,1,3,729
277,1,3,729
280,1,3,729
593,1,3,729
283,5,3,729
659,1,3,729
291,1,3,729
296,1,3,729
297,1,3,729
718,1,3,729
738,1,3,729
301,1,3,729
304,8,3,729
779,1,3,729
307,1,3,729
310,3,3,729
311,1,3,729
317,1,3,729
326,1,3,729
333,1,3,729
335,1,3,729
1054,1,3,729
337,1,3,729
342,1,3,729
346,1,3,729
349,1,3,729
350,1,3,729
351,1,3,729
352,1,3,729
775,1,3,729
356,1,3,729
359,5,3,729
361,5,3,729
31,1,3,729
372,1,3,729
374,5,3,729
69,1,3,729
377,1,3,729
429,1,3,729
162,3,3,729
1030,3,3,729
185,1,3,729
393,1,3,729
394,2,3,729
400,1,3,729
410,1,3,729
437,7,3,729
413,1,3,729
414,33,3,729
334,1,3,729
420,1,3,729
347,1,3,729
355,1,3,729
367,1,3,729
428,8,3,729
378,2,3,729
433,1,3,729
436,1,3,729
676,1,3,729
439,1,3,729
441,4,3,729
445,2,3,729
446,1,3,729
447,1,3,729
448,30,3,729
449,1,3,729
452,1,3,729
538,1,3,729
553,14,3,729
465,1,3,729
622,1,3,729
611,1,3,729
473,1,3,729
480,1,3,729
717,1,3,729
485,1,3,729
486,1,3,729
978,1,3,729
489,1,3,729
492,1,3,729
299,1,3,729
802,2,3,729
844,1,3,729
500,1,3,729
501,1,3,729
584,1,3,729
504,1,3,729
837,1,3,729
453,1,3,729
507,1,3,729
870,1,3,729
874,1,3,729
511,1,3,729
512,1,3,729
513,1,3,729
514,1,3,729
911,1,3,729
520,1,3,729
497,1,3,729
530,1,3,729
789,1,3,729
532,1,3,729
533,1,3,729
461,2,3,729
440,3,3,729
1011,1,3,729
139,1,3,729
543,1,3,729
548,1,3,729
549,1,3,729
554,1,3,729
555,2,3,729
375,1,3,729
559,1,3,729
560,2,3,729
561,2,3,729
568,1,3,729
571,4,3,729
579,1,3,729
582,1,3,729
230,2,3,729
587,1,3,729
598,1,3,729
601,1,3,729
604,1,3,729
605,3,3,729
606,2,3,729
376,1,3,729
389,1,3,729
613,1,3,729
614,1,3,729
583,1,3,729
653,1,3,729
630,2,3,729
526,1,3,729
634,7,3,729
635,1,3,729
558,1,3,729
641,4,3,729
647,1,3,729
648,2,3,729
628,1,3,729
654,1,3,729
660,1,3,729
662,2,3,729
666,1,3,729
667,1,3,729
670,1,3,729
726,1,3,729
674,1,3,729
757,1,3,729
682,4,3,729
684,3,3,729
685,1,3,729
745,1,3,729
689,1,3,729
691,1,3,729
692,1,3,729
